regiao;uf;municipio;codigo_ibge;taxa_analfabetismo_censo_ibge_2022;populacao_total_municipio_15_anos_censo_ibge_2022;populacao_nao_alfabetizada_censo_ibge_2022;matriculas_eja_fundamental_medio;escolas_municipais_eja;escolas_estaduais_eja;tem_tipo_matricula_eja;aderiu_pba_2024_sba;aderiu_pba_2025_sba;aderiu_pba_saldos_simec;unidade_prisional_oferta_educacional;15_19_anos_populacao_nao_alfabetizada;20_24_anos_populacao_nao_alfabetizada;25_34_anos_populacao_nao_alfabetizada;35_44_anos_populacao_nao_alfabetizada;45_54_anos_populacao_nao_alfabetizada;55_64_anos_populacao_nao_alfabetizada;65_anos_ou_mais_populacao_nao_alfabetizada;ano_adesao
Sul ;Paraná ;Londrina ;4113700.0;2.8427871384962664;458951.0;13047.0;4709.0;38.0;17.0;Sim;Não ;Não;Não ;Unidade com oferta;0.7292873901122198;0.604589165000476;0.571632725973562;0.9036144578313252;1.7608388345250674;3.6332153182542015;10.57060215619248;2024
Sul ;Paraná ;Lobato ;4113601.0;5.126182965299685;3804.0;195.0;21.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.0;0.0;1.1705685618729096;1.300578034682081;3.3527696793002915;8.461538461538462;16.415410385259634;2024
Sul ;Paraná ;Loanda ;4113502.0;6.0051657339647;18584.0;1116.0;151.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;0.7289595758780649;0.9410288582183186;1.098901098901099;1.8653453803555813;4.482323232323232;9.50976778474014;21.6894135005533;2024
Sul ;Paraná ;Lindoeste ;4113452.0;8.894289185905224;4115.0;366.0;41.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.2915451895043732;1.257861635220126;1.954887218045113;3.3381712626995643;6.025824964131994;12.650602409638552;26.928281461434374;2024
Sul ;Paraná ;Lidianópolis ;4113429.0;11.488573193329216;3238.0;372.0;23.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.7391304347826086;0.9708737864077668;2.3504273504273505;3.1620553359683794;9.15492957746479;14.871794871794872;29.629629629629623;2024
Sul ;Paraná ;Leópolis ;4113403.0;7.884490590525632;3082.0;243.0;11.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.0;1.4925373134328357;0.449438202247191;2.6615969581749046;5.394990366088632;8.1374321880651;23.48367029548989;2024
Sul ;Paraná ;Laranjeiras do Sul ;4113304.0;5.398628795298727;25525.0;1378.0;428.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;1.0412147505422993;0.9791921664626682;0.9922603691208574;2.5635455137953507;5.588011176022352;9.45945945945946;16.80695847362514;2024
Sul ;Paraná ;Laranjal ;4113254.0;13.89854065323141;4317.0;600.0;26.0;0.0;0.0;Sim;Não ;SIM;Não ;sem unidade;1.5384615384615383;1.8229166666666667;1.600985221674877;7.663316582914573;15.10989010989011;23.785594639866;47.70642201834863;2024
Sul ;Paraná ;Lapa ;4113205.0;3.8828039430449066;36520.0;1418.0;180.0;1.0;2.0;Sim;Não ;Não;Não ;sem unidade;0.6862745098039216;0.7283763277693476;0.8566978193146416;1.5775635407537247;3.4772943791679896;5.904404873477039;12.837067983289025;2024
Sul ;Paraná ;Kaloré ;4113106.0;8.996088657105608;3835.0;345.0;36.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.0;1.185770750988142;1.9163763066202089;2.3178807947019866;5.828220858895705;10.319767441860463;25.838509316770185;2024
Sul ;Paraná ;Jussara ;4113007.0;5.995203836930456;5421.0;325.0;39.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.2347417840375587;0.9259259259259258;0.3348214285714285;1.4659685863874343;4.479166666666667;8.126410835214447;21.709006928406467;2024
Sul ;Paraná ;Juranda ;4112959.0;7.6947485324448675;6303.0;485.0;31.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.7905138339920948;0.5405405405405406;1.5873015873015872;2.566452795600367;6.625441696113074;10.40235525024534;27.125941872981706;2024
Sul ;Paraná ;Jundiaí do Sul ;4112900.0;10.229799851742031;2698.0;276.0;29.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.4018691588785046;1.4705882352941175;1.3986013986013983;2.6455026455026456;9.414225941422592;13.983050847457626;27.342256214149145;2024
Sul ;Paraná ;Joaquim Távora ;4112801.0;5.120671563483736;9530.0;488.0;120.0;1.0;2.0;Sim;Não ;Não;Não ;sem unidade;0.495049504950495;0.5740528128587831;0.9376723662437948;1.1965811965811968;3.3752481800132363;8.01209372637944;19.59972394755004;2024
Sul ;Paraná ;Jesuítas ;4112751.0;5.809512787871774;8641.0;502.0;30.0;0.0;0.0;Sim;Não ;SIM;Não ;sem unidade;0.9478672985781992;0.0;0.8791208791208791;2.097428958051421;2.925531914893617;8.35164835164835;17.559523809523807;2024
Sul ;Paraná ;Jataizinho ;4112702.0;7.221929362150764;9485.0;685.0;45.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.3205282112845138;1.4301430143014302;1.761846901579587;3.007518796992481;5.491698595146871;10.983981693363845;23.474178403755868;2024
Sul ;Paraná ;Jardim Olinda ;4112603.0;9.433962264150944;1060.0;100.0;0.0;0.0;0.0;Não ;Não ;Não;Não ;sem unidade;2.4390243902439024;0.0;1.7857142857142856;5.128205128205128;8.823529411764707;10.309278350515465;34.55882352941176;2024
Sul ;Paraná ;Jardim Alegre ;4112504.0;11.21807863802189;9868.0;1107.0;120.0;0.0;2.0;Sim;Não ;Não;Não ;sem unidade;1.1811023622047243;1.1396011396011396;1.5218769816106532;4.220183486238533;7.168246445497631;15.485074626865671;33.06962025316456;2024
Sul ;Paraná ;Japurá ;4112405.0;5.5171514281987735;7667.0;423.0;23.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.7272727272727273;0.8361204013377926;0.6595218466611706;0.7886435331230284;3.6306235201262815;6.732976281560826;17.89617486338798;2024
Sul ;Paraná ;Japira ;4112306.0;8.93169877408056;3997.0;357.0;43.0;1.0;0.0;Sim;Não ;SIM;Não ;sem unidade;0.2898550724637681;0.967741935483871;1.740506329113924;2.269503546099291;6.165413533834586;14.937106918238992;26.988636363636363;2024
